,Company,Ticker
910,Welltower,WELL
911,Wesco International,WCC
912,West Pharmaceutical Services,WST
913,Western Alliance Bancorp,WAL
914,Western Digital,WDC
915,Western Union,WU
916,Westlake Chemical,WLK
917,Westrock,WRK
918,Wex,WEX
919,Weyerhaeuser,WY
920,Whirlpool Corporation,WHR
921,White Mountains Insurance Group,WTM
922,Whiting Petroleum Corporation,WLL
923,Wiley,JW.A
924,Williams Companies,WMB
925,"Williams-Sonoma, Inc.",WSM
926,Willis Towers Watson,WLTW
927,Wintrust Financial,WTFC
928,"Workday, Inc.",WDAY
929,Worldpay,WP
930,Wyndham Destinations,WYND
931,Wyndham Hotels & Resorts,WH
932,Vici Properties,VICI
933,Virtu Financial,VIRT
934,Visa Inc.,V
935,Visteon,VC
936,Vistra Energy,VST
937,VMware,VMW
938,Vornado Realty Trust,VNO
939,Voya Financial,VOYA
940,Zayo Group,ZAYO
941,Zebra Technologies,ZBRA
942,Zendesk,ZEN
943,Zillow (Class A),ZG
944,Zillow (Class C),Z
945,Zimmer Biomet,ZBH
946,Zions Bancorporation,ZION
947,Zoetis,ZTS
948,Zynga,ZNGA
949,Wynn Resorts,WYNN
950,Xcel Energy,XEL
951,Xerox,XRX
952,Xilinx,XLNX
953,XPO Logistics,XPO
954,Xylem Inc.,XYL
955,Yum China Holdings,YUMC
956,Yum! Brands,YUM
